RESPONDENT_ID,LANGUAGE_CODE,SURVEY_TYPE,Q01. In what country were you born?,Q02. In what year were you born?,Q03. In what year did you move to the United States?,Q04. In what ZIP code do you live?,Q05. What is your preferred language?,Q06. How well would you say you speak English?,Q07-Verbatim. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?,Q07_CODE1. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?-1,Q07_CODE2. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -2,Q07_CODE3. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -3,"Q08. Overall, how much of a difference do you think you can have in making your neighborhood a better place to live?",Q09. How interested are you in the presidential election this year?,"Q10_01. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 1","Q10_02. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 2","Q10_03. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 3","Q10_04. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 4","Q10_05. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 5","Q10_06. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 6","Q10_07. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 7","Q10_08. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 8","Q10_09. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 9","Q10_10. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 10","Q10_11. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 11","Q10_12. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 12","Q10_13. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 13","Q13_OTHER. Other: (If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use? )",Q11. How easy is it to find information about elections and candidates in your preferred language?,Q12_01. Please tell us if you have done any of the following activities in the past 2 years. - 1,Q12_02. Please tell us if you have done any of the following activities in the past 2 years. - 2,Q12_03. Please tell us if you have done any of the following activities in the past 2 years. - 3,Q12_04. Please tell us if you have done any of the following activities in the past 2 years. - 4,Q12_05. Please tell us if you have done any of the following activities in the past 2 years. - 5,Q12_06. Please tell us if you have done any of the following activities in the past 2 years. - 6,Q12_07. Please tell us if you have done any of the following activities in the past 2 years. - 7,Q12_08. Please tell us if you have done any of the following activities in the past 2 years. - 8,Q12_09. Please tell us if you have done any of the following activities in the past 2 years. - 9,"Q13. Some people are registered to vote, while others are not. Which of the following best describes you?","Q13_OTHER. Other: (Some people are registered to vote, while others are not. Which of the following best describes you?)","Q14. If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote?","Q14_OTHER. Other: (If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote? )",Q15. Did you vote in the Presidential Election last November 2012?,"Q16. If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?","Q16_OTHER. Other: (If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?)",Q17. How likely is it that you will vote in the presidential election this November 2016?,Q18. How often have you voted in state and local elections?,"Q19. Have you ever been contacted and encouraged to vote by a candidate, political party, or other organization?",Q20. What is the highest level of education that you have completed?,Q21. Do you and your family own the place where you are living now or do you rent?,Q21_OTHER. Other: (Do you and your family own the place where you are living now or do you rent?),Q22. How many people (adults and children) currently live in your household?,Q23. Please select your gender:,Q23_OTHER. Other: (Please select your gender:),Q24. What was your total combined household income in 2015 before taxes?,"Q25. When it comes to getting around the city, which of these statements best describes your situation?","Q25_OTHER. Other: (When it comes to getting around the city, which of these statements best describes your situation?)",Q26. How did you hear about Seattle Votes?
986,Chinese,WEB,China,1977,2008,98053,Chinese,Well,Control the Marijuana produces and resale issue., Other, , ,I can make a moderate difference,I am very interested,Internet,Friends and family,Newspapers in English, , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person", , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Somewhat likely,Never,No,Graduate or professional degree,We own our home, ,5,Male, ,"More than $150,000",I usually drive the car that I own, , 
998,Arabic,PAPER,Iraq,1948,2010,98055,Arabic,Not at all,English Language / Rent / Human Hralth, Language help/Language specific education,Affordable housing/Low income housing,Access to health care/Affordable health care,I can make no difference at all,I am very interested,My community organization(s)/service provider(s), , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, ,Other:,"""unoccupied",No,Other:, ,Not likely at all,Never, ,Eighth grade or below,We rent our home, , ,Male, ,"$11,881 to $24,300",I usually drive the car that I own, ,LCSNW
987,Chinese,WEB,China,1988,2007,98053,Chinese,Not well,"give the resource/benefits to the people who is really needed.  some people they have social security in they home country and they still have full benefits in the U.S. it's not fair to other people who worked in the U.S and paid tax. I hope the system can be better.  in general, housing, health insurance, money are always needed. I notice that more and more people from other states and move over. How can we share our resource which is limited?  language barrier also is a big challenge/difficulty to the immigrant. Can the governor/city provide more resource to help the immigrant to live better/more convenient?", Financial assistance/Welfare, , ,I can make a moderate difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am registered to vote, , , ,No,I did not know how to fill out and submit my ballot, ,Very likely,Never,No,College degree,We own our home, ,2,Female, ,"More than $150,000",I usually drive the car that I own, , 
988, ,WEB,China,1982,2012,98053,Chinese,Not well,"Public officials should forbid any kind of marijuana business (including but not limited to marijuana planting,processing and retailing) in or around our residential communities and schools.", Other, , ,I can make a moderate difference,I am very interested,Internet,Friends and family,Ethnic newspapers,Newspapers in English,Ethinic radio,My community organization(s)/service provider(s),Library, , , , , , , ,It is difficult,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,"I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,I have given money to an organization or candidate, , , , ,I am not currently eligible to register to vote, , , ,No,I did not receive a ballot, ,Very likely,Never,No,Graduate or professional degree,We own our home, ,2,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,Internet (non specific)
989,Spanish,PAPER,Mexico,1981,1998,98053,Spanish,Not well,Security, Improve safety/Reduce crime, , ,I can make a small difference,I am very interested,Ethnic Television, , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am registered to vote, , , ,No, , ,Somewhat likely, , ,Some high school,We rent our home, ,4,Female, ,"$11,881 to $24,300",I usually drive the car that I own, , 
990,Somali,PAPER,Somalia,1979,1995,98055,Somalian,Very well,na, , , ,I can make a big difference,I am very interested,Television in English, , , , , , , , , , , , , ,Very easy,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Some high school,We rent our home, , , , ,"$11,881 to $24,300", , ,Voices of Tomorrow
991,English,PAPER,Somalia,1985,1999,98055,Somalian,Very well,"""lack of resources, public officials from same background""",General increase in public services/Increased access to information, , ,I can make a big difference,I am not interested,Internet,My community organization(s)/service provider(s), , , , , , , , , , , , ,I have not found any,I attended a government or school board meeting in my city, , , , , , , , ,I am eligible to register but have not registered yet, , , ,Yes, , ,Not likely at all,Sometimes, ,Graduate or professional degree,We rent our home, ,9, , ,"$40,891 to $64,999",I usually drive the car that I own, ,SVCLI
992,Vietnamese,PAPER,Vietnam,1953,1982,98055,Vietnamese, ,NA, , , ,I can make a small difference,I am very interested,Ethnic Television,Ethnic newspapers,Ethinic radio,My community organization(s)/service provider(s), , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Some high school,We live with relatives or friends, , ,Female, , ,I usually drive the car that I own, ,Sonny sewing
993,Vietnamese,PAPER,Vietnam,1948,1994,98055,Vietnamese,Not well,na, , , ,I can make no difference at all,I am very interested,Ethnic Television, , , , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue, , , , , , , , ,I am registered to vote, , , , ,I did not know how to fill out and submit my ballot, ,Very likely,Sometimes, ,Some high school,We rent our home, ,9,Male, ,"$11,880 or less",I usually drive the car that I own, ,REWA Tukwila Office
994,English,PAPER,Ethiopia,1972,2008,98055,Amharic,Well,Housing,Affordable housing/Low income housing, , ,I can make a big difference,I am very interested,Ethnic Television,My place of worship,My community organization(s)/service provider(s), , , , , , , , , , , ,I have not found any,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Never, ,Some college,We rent our home, ,4,Male, ,"$24,301 to $40,890",I usually drive the car that I own, ,REWA Tukwila Office
995,English,PAPER,Syria,1968,2012,98055,Arabic,Not well,Housing/employment,Affordable housing/Low income housing,Jobs/Job search/More jobs available, ,I can make a big difference,I am somewhat interested,Ethnic Television,Ethnic newspapers,My place of worship, , , , , , , , , , , ,I have not found any,I attended a government or school board meeting in my city, , , , , , , , ,I am not currently eligible to register to vote, ,Voter registration information is not available in my preferred language, ,No,I was not registered, ,Not likely at all,Never, ,None,We rent our home, ,4,Female, ,"$11,881 to $24,300","I don't own a car, so I take public transportation", ,REWA Tukwila Office
996,Vietnamese,PAPER,Vietnam,1931,1994,98055,Vietnamese,Not well,NA, , , ,I can make no difference at all,I am somewhat interested,Neighborhood House, , , , , , , , , , , , ,Neighborhod house,It is difficult, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Somewhat likely, , ,Some high school,We live with relatives or friends, ,9,Male, , , , ,Neighborhood House
997,English,PAPER,Korea,1951,1977,98055,Korean,Not well,na, , , ,I can make a small difference,I am very interested,Friends and family,Television in English, , , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue, , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Rarely, ,High school graduate or GED,We rent our home, ,2,Female, ,"$24,301 to $40,890",I usually drive the car that I own, ,LCSNW
999,English,PAPER,Phillipines,1966,1998,98055,Tagalog,Well,Communication skills, Communication (General), , ,I can make a big difference,I am very interested,Internet,Television in English, , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often, ,High school graduate or GED,We rent our home, ,3,Male, ,"$11,881 to $24,300","I don't own a car, so I take public transportation", ,Filipino Community and Bayan
1000,English,PAPER,Phillipines,1928,1980,98055,Tagalog,Very well,none, Don’t know, , ,I can make a big difference,I am very interested,Newspapers in English, , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often, ,College degree,We own our home, ,2, , ,I don't know,I usually drive the car that I own, ,Filipino Community and Bayan
1001,English,PAPER,USA,1981,NA/Refused,98055,English,Very well,Acces to health care,Access to health care/Affordable health care, , ,I can make a big difference,I am very interested,Internet,Ethnic Television,Television in English,Ethnic newspapers, , , , , , , , , , ,Very easy,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , ,I am registered to vote, , , ,No,My vote would not matter, ,Somewhat likely, , ,Graduate or professional degree,We own our home, , ,Male, ,"$65,000 to $99,999",I usually drive the car that I own, ,Crossings TV
1002,Tigrigna,PAPER,Eritirea,1976,1996,98055,Tigrigna,Well,Job; school,Jobs/Job search/More jobs available, , ,I can make a small difference,I am not interested,Internet, , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am eligible to register but have not registered yet, , , ,No,I was not registered, ,Not likely at all, , ,College degree,We own our home, ,3,Male, ,"$100,000 to $150,000",I usually drive the car that I own, ,Ailaf Ali
1003,English,WEB,India,1969,1994,98055,English,Very well,"Public officials should try and diversify their offices by hiring people from immigrant/refugee community or encourage volunteers to voice their opinion through various forms - town hall meetings, meet and greet community events,make an effort to attend social events hosted by the immigrant community - basically increase community outreach", Lack of representation/Leadership in community/Ability to vote, , ,I can make a moderate difference,I am very interested,Internet,Friends and family,Television in English, , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,"I contacted a public official through a letter, email, phone, or in-person","I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate, , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,Yes,Graduate or professional degree,We own our home, ,3,Female, ,"$100,000 to $150,000",I usually drive the car that I own, , 
1004,Korean,WEB,Korea,1959,2002,98055,Korean,Not well,"""It's just my personal opinion, but aren't I doing well. If not, there are too many things I don't know. """, Don’t know, , ,I can make no difference at all,I am very interested,Internet,Friends and family,Ethnic newspapers, , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, , , , ,Very likely,Never,No,Some college,We own our home, ,3,Male, ,"$24,301 to $40,890",I usually drive the car that I own, ,Dont Know/No Idea/I havent/No/NA/Never Heard
1005,Chinese,WEB,China,1988,2015,98055,Chinese,Not well,help some people to find the job,Jobs/Job search/More jobs available, , ,I can make a moderate difference,I am not interested,Internet,Friends and family,Television in English,Newspapers in English,Radio in English, , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was out of town, ,I don't know,Never,No,Some college,We rent our home, ,2,Female, ,"$24,301 to $40,890","I own a car, but I usually take public transportation", ,Dont Know/No Idea/I havent/No/NA/Never Heard
1006,English,WEB,Bangladesh,1973,2013,98055,Bengali,Not well,Housesing,Affordable housing/Low income housing, , ,I can make a moderate difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,Somewhat easy,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was out of town, ,I don't know,Never,No,Some college,We rent our home, ,6,Female, ,"$24,301 to $40,890","I don't own a car, so I take public transportation", ,"GoodWill (Burien, Bellevue, Seattle and Shoreline)"
